# UBVRIJHKLMNQ photometry in Taurus-Auriga (Kenyon+ 1995) ReadMe+ftp1995ApJS..101..117K Colors for main-sequence stars (55 rows)
# row  Sp     Teff    BC    U-V    B-V    V-Rc   V-Rj   V-Ic   V-Ij   V-J    V-H     V-K    V-L    V-M    V-N    V-12
#                K     mag    mag    mag    mag    mag    mag    mag    mag    mag 
    1  B0 V  30000  -3.16  -1.38  -0.30  -0.11  -0.13  -0.26  -0.42  -0.70  -0.81  -0.93  -0.99   nan    nan    nan       
    2  B1 V  25400  -2.70  -1.23  -0.26  -0.10  -0.11  -0.22  -0.36  -0.61  -0.71  -0.81  -0.86   nan    nan    nan       
    3  B2 V  22000  -2.35  -1.08  -0.22  -0.09  -0.10  -0.19  -0.32  -0.55  -0.65  -0.74  -0.77   nan    nan    nan       
    4  B3 V  18700  -1.94  -0.94  -0.19  -0.07  -0.08  -0.16  -0.27  -0.45  -0.53  -0.61  -0.63   nan    nan    nan       
    5  B4 V  17000  -1.70  -0.84  -0.16  -0.05  -0.07  -0.13  -0.24  -0.40  -0.47  -0.55  -0.55   nan    nan    nan       
    6  B5 V  15400  -1.46  -0.72  -0.14  -0.03  -0.06  -0.10  -0.22  -0.35  -0.41  -0.57  -0.48   nan    nan    nan      
    7  B6 V  14000  -1.21  -0.61  -0.13  -0.03  -0.06  -0.09  -0.19  -0.32  -0.37  -0.43  -0.45   nan    nan    nan       
    8  B7 V  13000  -1.02  -0.50  -0.11  -0.02  -0.04  -0.08  -0.17  -0.29  -0.34  -0.39  -0.42   nan    nan    nan       
    9  B8 V  11900  -0.80  -0.40  -0.09  -0.02  -0.02  -0.15  -0.12  -0.26  -0.31  -0.35  -0.39  -0.40   nan    nan    
   10  B9 V  10500  -0.51  -0.17  -0.06  -0.01   0.00  -0.08  -0.06  -0.14  -0.16  -0.18  -0.20  -0.20   nan    0.02
   11  A0 V   9520  -0.30   0.00   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.03   0.10
   12  A1 V   9230  -0.23   0.05   0.03   0.01   0.05   0.02   0.05   0.06   0.06   0.07   0.08   0.08   0.08   0.17
   13  A2 V   8970  -0.20   0.10   0.06   0.02   0.08   0.05   0.09   0.12   0.13   0.14   0.15   0.15   0.13   0.24
   14  A3 V   8720  -0.17   0.15   0.09   0.03   0.11   0.08   0.13   0.18   0.21   0.22   0.23   0.23   0.20   0.31
   15  A4 V   8460  -0.16   0.20   0.12   0.04   0.13   0.11   0.18   0.25   0.28   0.30   0.31   0.32   0.28   0.37
   16  A5 V   8200  -0.15   0.24   0.14   0.06   0.16   0.14   0.22   0.30   0.36   0.38   0.40   0.41   0.36   0.48
   17  A6 V   8350  -0.13   0.26   0.16   0.08   0.17   0.21   0.24   0.34   0.41   0.44   0.47   0.47   0.41   0.55
   18  A7 V   7850  -0.12   0.28   0.19   0.10   0.19   0.27   0.28   0.39   0.47   0.50   0.53   0.53   0.46   0.60
   19  A8 V   7580  -0.10   0.30   0.23   0.13   0.23   0.32   0.34   0.45   0.54   0.57   0.60   0.60   0.57   0.66
   20  A9 V   7390  -0.10   0.32   0.27   0.16   0.27   0.37   0.41   0.50   0.61   0.64   0.67   0.67   0.68   0.73
   21  F0 V   7200  -0.09   0.34   0.31   0.20   0.30   0.42   0.47   0.54   0.67   0.70   0.73   0.73   0.79   0.80
   22  F1 V   7050  -0.10   0.36   0.33   0.22   0.32   0.44   0.51   0.58   0.73   0.76   0.79   0.79   0.86   0.91
   23  F2 V   6890  -0.11   0.37   0.35   0.23   0.35   0.46   0.55   0.63   0.79   0.82   0.85   0.85   0.93   1.03
   24  F3 V   6740  -0.12   0.38   0.37   0.24   0.37   0.48   0.58   0.69   0.87   0.91   0.94   0.94   0.98   1.08
   25  F4 V   6590  -0.13   0.39   0.39   0.26   0.38   0.51   0.61   0.76   0.97   1.01   1.05   1.03   1.03   1.12
   26  F5 V   6440  -0.14   0.40   0.42   0.27   0.40   0.54   0.64   0.83   1.06   1.10   1.14   1.13   1.07   1.16
   27  F6 V   6360  -0.15   0.44   0.46   0.29   0.42   0.58   0.68   0.87   1.17   1.21   1.25   1.23   1.13   1.20
   28  F7 V   6280  -0.16   0.49   0.50   0.31   0.45   0.62   0.72   0.98   1.27   1.32   1.36   1.34   1.20   1.31
   29  F8 V   6200  -0.16   0.54   0.52   0.33   0.47   0.66   0.76   1.00   1.30   1.35   1.39   1.37   1.27   1.37
   30  F9 V   6115  -0.17   0.59   0.55   0.34   0.48   0.69   0.79   1.03   1.33   1.38   1.43   1.40   1.31   1.47
   31  G0 V   6030  -0.18   0.64   0.58   0.35   0.50   0.71   0.81   1.05   1.36   1.41   1.46   1.42   1.35   1.53
   32  G1 V   5945  -0.19   0.64   0.60   0.36   0.52   0.72   0.84   1.08   1.39   1.44   1.49   1.44   1.44   1.55
   33  G2 V   5860  -0.20   0.64   0.62   0.37   0.53   0.73   0.86   1.09   1.41   1.46   1.51   1.47   nan    1.62
   34  G3 V   5830  -0.20   0.71   0.63   0.38   0.53   0.74   0.87   1.11   1.44   1.49   1.54   1.50   nan    1.85
   35  G4 V   5800  -0.21   0.79   0.64   0.39   0.54   0.75   0.88   1.15   1.47   1.53   1.58   1.54   nan    1.69
   36  G5 V   5770  -0.21   0.86   0.66   0.39   0.54   0.76   0.89   1.16   1.52   1.58   1.63   1.59   nan    1.73
   37  G6 V   5700  -0.22   0.90   0.68   0.40   0.55   0.77   0.91   1.18   1.58   1.64   1.69   1.64   nan    1.79
   38  G7 V   5630  -0.23   0.95   0.71   0.41   0.57   0.79   0.94   1.27   1.66   1.72   1.77   1.73   nan    1.85
   39  G8 V   5520  -0.25   1.00   0.73   0.42   0.59   0.81   0.97   1.28   1.69   1.76   1.81   1.79   nan    1.90
   40  G9 V   5410  -0.28   1.13   0.78   0.44   0.61   0.83   1.01   1.30   1.73   1.80   1.86   1.87   nan    1.96
   41  K0 V   5250  -0.31   1.27   0.82   0.46   0.64   0.85   1.06   1.43   1.88   1.96   2.02   1.95   nan    2.03
   42  K1 V   5080  -0.37   1.44   0.85   0.50   0.69   0.93   1.14   1.53   2.00   2.09   2.15   2.07   nan    2.20
   43  K2 V   4900  -0.42   1.52   0.89   0.54   0.74   1.01   1.22   1.63   2.13   2.22   2.29   2.20   nan    2.38
   44  K3 V   4730  -0.50   1.80   0.97   0.58   0.83   1.08   1.35   1.79   2.33   2.42   2.51   2.39   nan    2.55
   45  K4 V   4590  -0.55   2.01   1.07   0.65   0.92   1.15   1.49   1.95   2.53   2.63   2.73   2.59   nan    2.73
   46  K5 V   4350  -0.72   2.22   1.16   0.73   0.99   1.36   1.62   2.13   2.74   2.85   2.96   2.96   nan    2.91
   47  K6 V   4205  -0.82   2.43   1.27   0.78   1.07   1.48   1.77   2.25   2.88   3.00   3.11   3.11   nan    3.22
   48  K7 V   4060  -0.92   2.64   1.38   0.84   1.15   1.60   1.93   2.37   3.03   3.16   3.27   3.27   nan    3.53
   49  M0 V   3850  -1.25   2.66   1.41   0.91   1.28   1.80   2.19   2.79   3.48   3.65   3.79   3.79   nan    4.09
   50  M1 V   3720  -1.43   2.74   1.48   0.94   1.40   1.96   2.45   3.00   3.67   3.87   4.02   4.02   nan    4.32
   51  M2 V   3580  -1.64   2.69   1.52   0.98   1.50   2.14   2.69   3.24   3.91   4.11   4.27   4.27   nan    4.55
   52  M3 V   3470  -2.03   2.65   1.55   1.10   1.60   2.47   2.94   3.78   4.40   4.65   4.85   4.85   nan    5.14
   53  M4 V   3370  -2.56   2.89   1.60   1.23   1.70   2.86   3.19   4.38   4.98   5.26   5.49   5.49   nan    5.73
   54  M5 V   3240  -3.29   3.07   1.82   1.50   1.80   3.40   3.47   5.18   5.80   6.12   6.41   6.41   nan    nan 
   55  M6 V   3050  -4.35   3.33   2.00   2.00   1.93   4.30   3.77   6.27   6.93   7.30   7.66   7.66   nan    nan
