# Table from http://xoomer.virgilio.it/hrtrace/Sk.htm on 24/01/2014 based on Schmid-Kaler (1982)
# LC V IV III II Ib Iab Ia Ia0
O3 -6 nan nan nan nan nan -6.8 nan
O4 -5.9 -6.1 -6.5 nan nan nan -6.8 nan
O5 -5.7 -6 -6.3 nan nan nan -6.8 nan
O6 -5.5 -5.8 -6.1 nan nan -6.5 -6.8 nan
O7 -5.2 -5.5 -5.9 -6 -6.3 -6.5 -6.8 nan
O8 -4.9 -5.4 -5.8 -6 -6.2 -6.5 -6.8 nan
O9 -4.5 -5.2 -5.6 -5.9 -6.2 -6.5 -6.8 nan
B0 -4 -4.7 -5.1 -5.7 -6.1 -6.4 -6.9 -8.2
B1 -3.2 -3.8 -4.4 -5.4 -5.8 -6.4 -6.9 -8.3
B2 -2.45 -3.1 -3.9 -4.8 -5.7 -6.4 -6.9 -8.3
B3 -1.6 -2.4 -3 -4.5 -5.5 -6.3 -7 -8.3
B5 -1.2 -1.7 -2.2 -4 -5.4 -6.2 -7 -8.4
B7 -0.6 -1.1 -1.5 -3.5 -5.3 -6.2 -7.1 -8.4
B8 -0.25 -0.7 -1.2 -3.1 -5.2 -6.2 -7.1 -8.5
B9 0.2 -0.2 -0.6 nan -5.2 -6.2 -7.1 -8.5
A0 0.65 0.3 0 -3 -5.2 -6.3 -7.1 -8.5
A1 1 0.7 0.2 -3 -5.2 -6.4 -7.2 -8.5
A2 1.3 1 0.3 -2.9 -5.2 -6.5 -7.2 -8.6
A3 1.5 1.2 0.5 -2.8 -5.2 -6.5 -7.2 -8.7
A5 1.95 1.3 0.7 -2.8 -5.1 -6.6 -7.4 -8.8
A7 2.2 1.7 1.1 -2.7 -5.1 nan -7.7 -8.9
A8 2.4 2 1.2 -2.6 -5.1 nan -7.8 -8.9
F0 2.7 2.2 1.5 -2.5 -5.1 -6.6 -8 -9
F2 3.6 2.4 1.7 -2.4 -5.1 -6.6 -8 -9
F5 3.5 2.5 1.6 -2.3 -5.1 -6.6 -8 -9
F8 4 2.8 nan -2.3 -5.1 -6.5 -8 -9
G0 4.4 3 1 -2.3 -5 -6.4 -8 -8.9
G2 4.7 3 0.9 -2.3 -5 -6.3 -8 -8.8
G5 5.1 3.1 0.9 -2.3 -4.6 -6.2 -7.9 -8.6
G8 5.5 3.1 0.8 -2.3 -4.4 -6.1 -7.8 -8.5
K0 5.9 3.1 0.7 -2.3 -4.3 -6 -7.7 -8.5
K1 6.15 3.1 0.6 -2.3 -4.3 -6 -7.6 nan
K2 6.4 nan 0.5 -2.3 -4.3 -5.9 -7.6 nan
K3 6.65 nan 0.3 -2.3 -4.3 -5.9 -7.5 nan
K4 7 nan 0 -2.3 -4.3 -5.8 -7.5 nan
K5 7.35 nan -0.2 -2.3 -4.4 -5.8 -7.5 nan
K7 8.1 nan -0.3 -2.3 -4.4 -5.7 -7.4 nan
M0 8.8 nan -0.4 -2.5 -4.5 -5.6 -7 -8
M1 9.3 nan -0.5 -2.5 -4.6 -5.6 -7 -8
M2 9.9 nan -0.6 -2.6 -4.7 -5.6 -6.9 -8
M3 10.4 nan -0.6 -2.6 -4.8 -5.6 -6.9 -8
M4 11.3 nan -0.5 -2.6 -4.8 -5.6 -6.8 -8
M5 12.3 nan -0.3 nan -4.8 -5.6 -6.8 nan
